epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.593,1.96799,2.3157,1.5235,0.51014,0.01102,0.00145,0.0003,2.81392,5.77044,2.07867,0.000552194,0.000552194,0.000552194
2,713.831,1.85815,1.74002,1.46427,0.58712,0.08729,0.0317,0.00818,2.44448,4.1502,1.65493,0.000742266,0.000742266,0.000742266
3,1061.14,1.78397,1.57766,1.42167,0.55592,0.09746,0.02488,0.0058,2.41669,4.26647,1.65182,0.000565599,0.000565599,0.000565599
